,old_PUC,Category,Product,Refined,description,type,fHands,fBody,sum_f,fRinseH,fwipeH,sum_H,fRinseB,fWipeB,Sum_B,fRinseS,fWipeS,Sum_S,AllHands,new_PUC
180,P.PC.100.000,personal care,bath oil,,bath oils or oil-filled beads,BAT,0.1,0.9,1,0.99,0,0.99,0.99,0,0.99,0,0,0,1,PC.2800.010.099.F
181,P.PC.110.000,personal care,bath paints/crayons,,bath paints or bath crayons,SOL,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,1,PC.0800.070.001.F
182,P.PC.120.000,personal care,bath salts,,"bath salts, soaks, and fizzes",BAT,0.1,0.9,1,0.99,0,0.99,0.99,0,0.99,0,0,0,1,PC.2800.020.099.F
183,P.PC.130.000,personal care,bite relief,,soothing treatments for insect bites,LBS,0.2,0.8,1,0.99,0,0.99,0,0,0,0,0,0,NA,PC.0200.010.099.F
184,P.PC.140.000,personal care,blush/bronzer,,"cheek blushes, bronzers, and rouges",DBS,0,1,1,0,0,0,0.99,0,0.99,0,0,0,NA,PC.2300.010.099.F
185,P.PC.150.000,personal care,body adhesive,,NA,LBS,0,1,1,NA,NA,0,0,0,0,0,0,0,NA,PC.0300.010.099.F
186,P.PC.160.000,personal care,body care set,,multicomponent body care or bath set for which individual products are not designated,LBS,0.2,0.8,1,0.99,0,0.99,0,0,0,0,0,0,1,PC.0400.010.099.F
187,P.PC.170.029,personal care,body oil,spray,"body oils (not including baby or bath oils, spray or aerosol formulation specified)",SBS,0.05,0.95,1,0.99,0,0.99,0,0,0,0,0,0,NA,PC.0600.010.050.F
188,P.PC.170.999,personal care,body oil,NOC,body oils (not including baby or bath oils),LBS,0.2,0.8,1,0.99,0,0.99,0,0,0,0,0,0,NA,PC.0600.010.099.F
189,P.PC.180.000,personal care,body powder,,talcum and dusting powders for the body,DBS,0,1,1,0,0,0,0.99,0,0.99,0,0,0,NA,PC.0700.010.099.F
